filename, language, Markdown, Dockerfile, JSON, YAML, Go, JavaScript, Ignore, CSS, JavaScript React, XML, HTML, comment, blank, total
client/src/components/Chat/Chat/Chat.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
client/src/components/Chat/Chat/ChatDialog.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 32, 7, 254
client/src/components/Chat/Chat/Chats/ChatItem.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 2, 5, 87
client/src/components/Chat/Chat/Chats/Chats.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
client/src/components/Chat/Chat/Dialog/Dialog.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 3, 82
client/src/components/Chat/Chat/Dialog/Messages.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 1, 3, 93
client/src/components/Chat/Chat/Dialog/message.style.css, CSS, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 14, 17, 149
client/src/components/Chat/Chat/Friends/FriendItem.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 1, 5, 81
client/src/components/Chat/Chat/Friends/Friends.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
client/src/components/Chat/Socket.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 2, 4, 43
client/src/components/Comment/CommentDialog.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 5, 69
client/src/components/Comment/CommentRender.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
client/src/components/Comment/CommentSingleRender.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 3, 40
client/src/components/Comment/CommentsDialog.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
client/src/components/CommentSection/Comment.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 5, 105
client/src/components/CommentSection/Comment.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
client/src/components/CommentSection/CommentForm.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
client/src/components/CommentSection/CommentSection.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 2, 8, 81
client/src/components/CommentSection/CommentShowcase.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 5, 52
client/src/components/CommentSection/Common/CommentComponent.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 28, 10, 194
client/src/components/Common/GoImage.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
client/src/components/Common/Hider/Hider.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 4, 59
client/src/components/Common/Hider/HiderButton.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
client/src/components/Common/ImageUploader.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 1, 4, 77
client/src/components/Common/InputBorderline.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 2, 6, 121
client/src/components/Common/InputTag.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 14, 9, 119
client/src/components/Common/InvisibleInput.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
client/src/components/Common/PrivateRoute.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
client/src/components/Common/RatingsCommon.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 70, 12, 213
client/src/components/Common/RatingsCommon.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
client/src/components/Common/Review/ReviewItem.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 5, 64
client/src/components/Common/Review/reviewItem.style.css, CSS, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
client/src/components/Common/ReviewsSection.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 13, 6, 120
client/src/components/Common/ScrollerLoader.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 7, 5, 114
client/src/components/Common/Suggestion.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 4, 30
client/src/components/Common/image-uploader.style.css, CSS, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
client/src/components/Configuration/Configuration.js, JavaScript, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
client/src/components/Home/Home.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 3, 58
client/src/components/LastfmAuth/LastfmAuth.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
client/src/components/Login/Login.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 12, 83
client/src/components/Notifications/NotiWrap.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 26, 8, 111
client/src/components/Notifications/Notification.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 4, 40
client/src/components/Notifications/Notify.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
client/src/components/Playlist/PlaylistForm/PlaylistForm.component.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 5, 13, 114
client/src/components/Playlist/PlaylistForm/Track/TrackSearch.component.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 8, 55
client/src/components/Playlist/PlaylistForm/Track/current/CurrentTracks.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
client/src/components/Playlist/PlaylistForm/Track/current/currentTracks.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
client/src/components/Playlist/PlaylistForm/Track/visuals/TrackCard.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 6, 96
client/src/components/Playlist/PlaylistForm/Track/visuals/TrackSearch.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
client/src/components/Playlist/PlaylistForm/Track/visuals/trackSearch.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
client/src/components/Playlist/PlaylistForm/visuals/GeneralForm.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 5, 46
client/src/components/Playlist/PlaylistForm/visuals/playlistForm.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
client/src/components/Playlist/PlaylistPage/Playlist.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 5, 13, 199
client/src/components/Playlist/PlaylistPage/Playlist.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
client/src/components/Playlist/PlaylistPage/PlaylistRating/PlaylistRating.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
client/src/components/Playlist/PlaylistPage/TrackPlaylist/TrackPlaylist.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 28, 12, 163
client/src/components/Playlist/PlaylistPage/TrackPlaylist/TrackPlaylist.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
client/src/components/Playlist/PlaylistPage/Util/UserRoute.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
client/src/components/Profile/Playlist/PlaylistShowcase.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 5, 56
client/src/components/Profile/Profile/Profile.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 17, 12, 317
client/src/components/Profile/Profile/Profile.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 2, 18, 91
client/src/components/Profile/Profile/ProfileArtist/ProfileArtists.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
client/src/components/Profile/Profile/ProfileInfo.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 5, 106
client/src/components/Profile/Ratings/Rating.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
client/src/components/Profile/Ratings/Ratings.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 2, 7, 122
client/src/components/Profile/Ratings/Stars.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
client/src/components/Register/Register.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 11, 120
client/src/components/Review/Editor/Editor.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 4, 88
client/src/components/Review/Review.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
client/src/components/Review/ReviewEditor.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
client/src/components/Review/review-editor.style.css, CSS, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
client/src/components/Search/AlbumItem.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 10, 80
client/src/components/Search/AppBarMine.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 5, 9, 112
client/src/components/Search/ChatButton.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
client/src/components/Search/List.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 8, 87
client/src/components/Search/LoadList.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 3, 10, 104
client/src/components/Search/Popup/Pop.component.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 10, 132
client/src/components/Search/SearchButton.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
client/src/components/Search/SearchRoute/SearchRoute.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 17, 15, 166
client/src/components/Search/SearchRoute/albums/Album.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 5, 73
client/src/components/Search/SearchRoute/albums/Albums.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
client/src/components/Search/SearchRoute/albums/album.style.css, CSS, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
client/src/components/Search/SearchRoute/artists/Artists.component.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 5, 38
client/src/components/Search/SearchRoute/artists/artists.styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
client/src/components/Search/SearchRoute/artists/visual/Artist.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 5, 72
client/src/components/Search/SearchRoute/artists/visual/Artists.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
client/src/components/Search/SearchRoute/playlists/Playlist.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 4, 63
client/src/components/Search/SearchRoute/playlists/Playlists.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
client/src/components/Search/SearchRoute/playlists/PlaylistsShowcase.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
client/src/components/Search/SearchRoute/profiles/Profile.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 5, 67
client/src/components/Search/SearchRoute/profiles/Profiles.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
client/src/components/Search/SearchRoute/profiles/ProfilesShowcase.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
